Tibetan,English,Author
ངའི་ཨ་མས་གྲོ་མ་དང་འབྲས། ང་སོའི་དུག་ལོག་རྙིང་པ་རྣམས་ཁོང་གི་ནང་མིར་བསྐུར།,"My mother sent yams and rice, and our old clothes, to his family.",ted2019
"ཁོང་གིས། ""འགྲོ་དང་འགྲོ ཁང་པ་དེ་དག་འཛུགས་བསྐྲུན་བྱས་པའི་གོ་རིམ་གྱི་སྔ་ཕྱི་ལྟར་འགྲོ་ཡི་ཡོད།",They go in the order in which they were built.,ted2019
གློག་ཀླདགང་ཟགདངདཔེ་བསྐྲུན ཕྱི་རུ ༢༠༠༠.,The Sims was released in 2000.,Zubaan Ka Aashiq
ཁོ་མོ་ནང་དུ་བསྡད་ནས་ང་དང་གཅེན་པོ་གཉིས་ལྟ་སྐྱོང་བྱེད་པ་ཡིན།,And she stayed at home to take care of me and my older brother.,ted2019
ཁྱེད་རང་ལ་ནད་རྟགས་དཔྱེར་ན། ག་ློདང་། མིད་པ་ཚ་བ། དབུགས་ཐག་ཐུང་བ། རྒྱུ་མཚན་མྱེད་པར་ཚ་བ་འཕར་བ་བཅས་བྱུང་ན། COVID-19,"If you have symptoms such as cough, sore/scratchy throat or shortness of breath or unexplained fever, you should be tested for COVID-19.",OliverDeBriz
ལྕམ་དང་སྐུ་ཞབས་རྣམ་པ། གཏམ་རྒྱུད་འདི་ད་སྔ་ད་དུང་བསྒྲགས་མྱོང་ཡོད་མ་རེད་དེ།,"Ladies and gentlemen, this story has not yet been published.",ted2019
ཆེས་ནོ་ཨ་ཆ་བྷས་དང་ཁ་མ་ར་ལེ་ཡས་ལྟ་བུའི་ རྩོམ་པ་པོ་དག་གིས་རྐྱེན་བྱས་ཏེ་ངས་རྩོམ་རིག་ལ་བཟུང་བའི་ ལྟ་སྟངས་ལ་འགྱུར་བ་ཕྱིན་སོང་།,"But because of writers like Chinua Achebe and Camara Laye, I went through a mental shift in my perception of literature.",ted2019
གོང་མ་ནི་སྐྱོན་མེད་དང་། ས་གནས་དཔོན་རིགས་ཚོ་ནི་ཇག་ཚོགས་ཤིག་ཡིན་པའི་ལྟ་སྟངས་རེད།,The old local officials are thugs.,ted2019
ཌིས་ཌིར་དང་ཌིས་ཌིར་འདྲ་བཟོ་བྱས་པ་གཉིས་ཀར་ ཡིག་འབྲུ་༡༤༠་ཙམ་འབྲི་བའི་ཚད་གཞི་ཡོད་པ་རེད།,"You know, Twitter and Twitter clones have a kind of a limitation of 140 characters.",ted2019
ཉིན་དེ་མོ་ལོ་གཅིག་ལ་སོན་པའི་སྐྱེས་སྐར་ཡིན། ང་ཚོ་སྲང་ཆེན57པ་དང5བ་བསྣོལ་སར་བསྡད་ཡོད།,We're on the corner of 57th and 5th.,ted2019
"ཁྱེ་རང་གི་ལན་དུ་ ""ད་འདི་་་་་་་ འདི་ཨོག་ཁྲོམ་ལམ་དང་དེ་ཨེམ་ཁྲོམ་ལམ་རེད།","And you say, ""I'm sorry, well, this is Oak Street, that's Elm Street.",ted2019
དེ་ནི་ཨ་རིའི་མི་འབོར་ཁ་གྲངས་དང་གཅིག་པ་རེད།,It's the entire population of the United States.,ted2019
དབུས་གཞུང་གིས་ཁོང་ཚོ་ཕྱིར་ས་གནས་སུ་ལོག་བཏང་བ་དང་།,So they send them back in recent years.,ted2019
དོན་དངོས་ཐོག་བརྙན་ལེན་འཕྲུལ་འཁོར་གྱིས་ངའི་མཛུབ་མོའི་འགུལ་སྐྱོད་ལ་རྗེས་ཉུལ་བྱེད་ཀྱིན་ཡོད།,But the camera is actually tracking where my fingers are moving.,ted2019
ངའི་ཕ་དམ་པས་ང་ལ་བཞག་པའི་ཤུལ་རྫས་ནི་ འཕྲིན་ཡིག་དང་ཟིན་བྲིས་དག་གི་ནང་དུ་ཡོད་པའི་ཁོང་གི་ཡིག་གཟུགས་རེད།,And my father left me a legacy of his handwriting through letters and a notebook.,ted2019
སྔོན་མ་ཡིན་ན་ཕརིསི་དང་ལོནྟོན་དང་ནེའུཡོག་སོགས་ནི་འཛམ་གླིང་གི་གྲོང་ཁྱེར་ཆེས་ཤོས་ཚོ་ཡིན་མོད།,It used to be that Paris and London and New York were the largest cities.,ted2019
ང་ཚོས་ཤེས་གསལ་ལྟར་མོ་བྷ་ར་ཁི་དངོས་ཡོད་ལག་ལེན་ཐོག་ནས་ ཤི་བ་རེད།,We all know Mubarak is technically dead.,ted2019
འོན་ཀྱང་། ཁོང་གིས་གོམ་པ་རྒྱག་རྒྱུ་དང་། ནངས་མོ་སྟོད་གོས་གྱོན་རྒྱུའང་ཁག་པོ་ཆགས་སྐབས། ཁོང་ནས་འབད་བརྩོན་ལན་མང་བྱེད་ཀྱི་ཡོད་པ་ངས་མཐོང་བྱུང་ཡང་། ཕ་དམ་པས་ཁོང་གི་དཀའ་ངལ་སྐོར་ནམ་ཡང་རྙོག་གྲ་བཤད་མྱོང་མེད།,But even as it got harder for him to walk and get dressed in the morning -- I saw him struggle more and more -- my father never complained about his struggle.,ted2019
སྐར་མ་ཁ་ཤས་ཀྱི་རིང་ལ། ང་ཡིས་ཁྱེད་ཅག་ལ་ ང་ཡི་མཐོང་སྣེའི་འཇིག་རྟེན་སྐོར་བཤད་པ་རེད། ཁྱེད་ཅག་ལ་ ཡི་གེ་ལའང་ཁ་དོག་དང་། སེམས་ཚོར་ཡོད་པ་དང་། ཨང་ཀི་ལ་དབྱིབས་དང་གཤིས་ཀ་ཡོད་པ།,"So in these few minutes, I hope I've been able to share a little bit of my vision of things and to show you that words can have colors and emotions, numbers, shapes and personalities.",ted2019
འུ་ཚོ་ཕྱིར་ ངས་དྲིས་པའི་འདྲི་ཚིག་ཐོག་ལ་འགྲོ 64དང75གཉིས་བསྒྱུར་ན།,Let's go back to the questions I posed you a moment ago. 64 multiplied by 75.,ted2019
དེ་དངོས་གནས་རེད། དེ་ནི་ང་ཚོ་འཚོ་སའི་འཇིག་རྟེན་འདིའི་དངོས་ཡོད་གནས་ཚུལ་རེད།,That is the reality of the world that we live in.,ted2019
ད་དུང་། འདིས་རྒྱ་ནག་གི་མི་སེར་ཚོར་སྦྱོང་བརྡར་དང་། མང་གཙོ་ཅན་དུ་འགྱུར་བའི་གྲ་སྒྲིག་ཐད་ནས་ མི་མང་གི་ཁོར་ཡུག་ཅིག་བསྐྲུན་ཡོད་ཀྱང་།,"But also, it gave the Chinese a national public sphere for people to, it's like a training of their citizenship, preparing for future democracy.",ted2019
ཕྱོགས་གཅིག་ནས་སྤྱི་ཚོགས་འབྲེལ་མཐུད་དྲ་བའི་དགོས་མཁོ་སྐོང་འདོད་ཡོད། མི་མང་ཚོ་དངོས་གནས་སྤྱི་ཚོགས་འབྲེལ་མཐུད་དྲ་བར་དགའ།,"On the one hand, he wants to satisfy people's need of a social network, which is very important; people really love social networking.",ted2019
གལ་ཏེ་ཨ་མས་ང་ལ་ཧྥེ་ཏིས་ཀྱི་བཟའ་མི་ཚོ་ཉམ་ཐག་དང་ ལས་ལ་བརྩོན་པ་ཞིག་ཡིན་ཅེས་བཤད་ཡོད་ན།,What if my mother had told us that Fide's family was poor and hardworking?,ted2019
ཁྱེད་ཚོར་ཡོས་ཌོབ་(Youtube)ཡོད་སར། ང་ཚོར་ཡོས་ཁོས་(Youku)དང་ཐོས་ཏོས་(Tudou)ཡོད།,"You have YouTube, we have Youku and Tudou.",ted2019
དེས་ན་༼ཨ་རབ་དང་ཨི་སི་རེལ་གྱི་ཉིན་དྲུག་གི་དམག་འཁྲུག༽ཁྲོད་བསད་རྨས་ཐེབས་པའི་གྲངས་་དེ་དམག་འཁྲུག་གཞན་30དང་འདྲ་བོ་ཡོད། འོན་ཀྱང་བསད་རྨས་ཐེབས་པ་ལྡབ100ལས་མང་བའི་དམག་འཁྲུག་ཐེངས་བཞི་མ་གཏོགས་བྱུང་མྱོང་མེད། དཔེར་ན། འཛམ་གླིང་འཁྲུག་ཆེན་དང་པོ་རེད།,"So there are 30 wars that are about as deadly as the Six Days War, but there's only four wars that are 100 times deadlier -- like World War I.",ted2019
དོན་དངོས་ཐོག་གྲོང་ཁྱེར་གྱིས་མི་རྣམས་ལ་རང་དབང་ཇེ་མང་ཞིག་སྤྲོད་ཐུབ། འདི་ནི་རིག་རྩལ་སྐྱར་དར་དུས་རབས་སྐབས་ཀྱི་ཇར་མན་མིའི་ལྟ་བ་ལྟར་རོ། །,"And here's the unromantic truth -- and the city air makes you free, they said in Renaissance Germany.",ted2019
ཁོ་ནར་སོན་པ་དང་བསྟུན་ནས་སྔར་དང་་མི་འདྲ་བར་ཆགས་ཤིང་་་་ ཉིན་རེ་བཞིན་མི་འདྲ་ས་རེ་ཇེ་གསལ་ནས་ཇེ་གསལ་དུ་སོང་།,"And as he grew older, he grew more different, and the differences became more obvious.",ted2019
དཔེ་དེབ་དེ་དག་གིས་ངའི་འཆར་སྒོ་དཀྲུགས་པ་དང་འཇིག་རྟེན་གསར་བ་ཞིག་གི་སྒོ་མོ་ཕྱེས་བྱུང་།,They opened up new worlds for me.,ted2019
ང་ཚོ་ནི་མཐའ་འཁོར་གྱི་དངོས་པོ་དང་ འབྲེལ་རེས་ཡོད་པའི་ཁོར་ཡུག་ཅིག་ནང་གནས་ཡོད།,We grew up interacting with the physical objects around us.,ted2019
ཡང་ངའི་སེམས་ལ་དངོས་གཟུཊ་འཇིག་རྟེན་གྱི་་་ དགོས་དགུའི་ས་བཀྲ་ཞིག་མ་བསྐྲུན་པ་ཅི་ཡིན་བསམས་བྱུང་།,"Then I thought, ""Why not make a Google Map, but in the physical world?""",ted2019
དེའི་མིང་ལ་སེམས་ཐག་གཙང་གཅད་ཞེས་འདོགས་དོན་ནི། དེ་ལ་དགོས་ངེས་ཀྱི་སྟོབས་ཤུགས་དྲན་གསོ་བྱེད་སྤྱད་ཞིག་སྟེ། རྒྱལ་ཁབ་ཞིག་འགོ་ཁྲིད་རྒྱུ་ཙམ་མིན་པར། དམིགས་ཡུལ་དང་ལྡན་པའི་མི་ཚེ་རོལ་རྒྱུའང་མཚོན་གྱི་ཡོད།,"And its name, Resolute, is a reminder of the strength of character that's required not only to lead a country, but to live a life of purpose, as well.",ted2019
གུ་གལ་ས་ཁྲ་འདིར་གཟིགས་དང་། དེ་གར་གྲོང་གླིང་་༡༤། ༡༥། ༡༦། ༡༧། ༡༨། ༡༩ ཞེས་,Just look at Google Maps here.,ted2019
ཞི་མི་ནི་ཞིབ་བཤེར་མཁན་རེད། རྒྱ་གཞུང་ལ་ཞི་མི་གཅིག་ལས་མེད་པ་མིན། ད་དུང་དབུས་དང་ས་གནས་ཀྱི་ཞི་མི་ཡོད།,"The cat is the censorship, but Chinese is not only one cat, but also has local cats.",ted2019
འདིས་ཁྱོད་ལ་ཉམ་ཆུང་དང་བྲེལ་ཤ་ལངས་པའི་ མཁའ་དབུགས་དེ་འདྲ་ཞིག་བསྐྲུན་ཡོད།,So what you have is an atmosphere of vulnerability and tension.,ted2019
Remi ཁོ་རང་གི་་འཇིག་རྟེན་ཁོ་ན་ལས་འཚོ་ཞིང། འགྲོ་སྲོལ་འདུག་སྟངས་ཀྱང་ཁོ་རང་གཅིག་པའི་འདོད་འདོད་དུ་བྱེད། ཁོས་དོན་དག་ཕྲན་ཚེགས་རེ་ནས་ཀྱང་སྤྲོ་སྣང་རྙེད་ཐུབ་སྟེ། ཁང་བའི་ནང་ནས་མོ་ཊ་གྲལ་སྒྲིག་པ་དང་་་་ འཁྲུད་ཆས་ལ་ལྟ་བ་་་་ ལག་སོན་བྱུང་བའི་བཟའ་བྱ་རེ་ཟ་བ་སོགས་ནས་ཀྱང་སྤྲོ་སྣང་རྙེད་ཐུབ།,"Remi lived and reigned in his own world, with his own rules, and he found pleasure in the smallest things, like lining up cars around the room and staring at the washing machine and eating anything that came in between.",ted2019
དེས་མི་སོ་སོ་ལ་ཐེབས་པའི་ཤན་ཤུགས་གཅིག་པ་མ་རེད། དེ་ཡང་ Remi ནི་ Samདང་མ་འདྲ་བའི་རྐྱེན་རེད།,"It manifests in each individual differently, hence why Remi is so different from Sam.",ted2019
དེས་ཝེ་པོ་བཟོ་ཚོང་ཁང་གིས་ཝེ་པོ་ནི་ཐོག་དང་པོ་ནས་ རྒྱ་གཞུང་ལ་ཉེན་ཁ་འབྱུང་གཞིའི་གླེང་སྟེགས་ ཤིག་མི་ཆགས་པའི་གོ་བསྐོན་བློ་འགུགས་ བྱས་ཡོད་པ་མཚོན་ཐུབ།,"That means from the very beginning, Weibo has already convinced the Chinese government, we will not become the stage for any kind of a threat to the regime.",ted2019
དེར་རྟེན་སྨྱུ་གུ་འདི་ཇུས་བཀོད་པ་ཡིན། འདིས་ཇུས་འགོད་མཁན་དང་ཨར་སྐྲུན་མཁན་གྱིས་་་ རྩ་གསུམ་བར་ཁམས་གྱིས་བསམ་བློ་གཏང་ཐུབ་པ་མ་ཟད་་་ རྩ་༣་གྱི་རི་མོའང་བྲིས་ཐུབ་པར་ཕན་ཁ་ཆེ། འདི་འདྲ་སྤྱད་ན་ཚོར་ཤེས་དེ་བས་ཐད་ཀར་བྱུང་སྲིད།,"So, I implemented this pen that can help designers and architects not only think in three dimensions, but they can actually draw, so that it's more intuitive to use that way.",ted2019
དེར་བརྟེན། ངས་རྟག་པར་ཕྱོགས་གཅིག་ནས་འདི་འདྲ་ཡིན་པ་དང་། ཡང་ཕྱོགས་གཞན་ཞིག་ནས་དེ་འདྲ་ཡིན་པ་བརྗོད་ཀྱི་ཡོད།,"So I always want to tell the story, like, one hand it is that, the other hand is that.",ted2019
ལོ་ངོ་མང་པོའི་རྗེས་སུ་ང་ནེའི་ཇི་རི་ཡ་དང་བྲལ་ནས་ཨ་རིར་མཐོ་སློབ་འགྲིམས་ སྐབས་འདིའི་སྐོར་བསམ་བློ་བཏང་བ་ཡིན།,"Years later, I thought about this when I left Nigeria to go to university in the United States.",ted2019
ངའི་ཨ་མ་ནི་ངའི་མི་ཚེའི་ནང་གི་མིག་དཔེ་སྟོན་མཁན་གཙོ་བོ་དེ་ཡིན། ཁོ་མོ་ད་ལྟ་ང་ཚོ་དང་མཉམ་དུ་ཕོ་བྲང་དཀར་པོར་བཞུགས་ཏེ། ངའི་བུ་མོ་ཆུང་ཆུང་གཉིས་བདག་སྐྱོང་བྱེད་ཪོགས་གནང་གི་ཡོད། ཁོང་གཉིས་ནི་མ་ལི་ཡ་དང་ས་ཤ་གཉིས་རེད།,"And my mother, the most important role model in my life, who lives with us at the White House and helps to care for our two little daughters, Malia and Sasha.",ted2019
དངོས་གནས་བྱས་ན། མང་ཆེ་བ་ཡུལ་སྐོར་བས་བླངས་པ་རེད།,"In fact, most of them were taken by random tourists.",ted2019
སྐབས་དེར་ཁྱེད་རང་ཨ་རིར་ཡོད་པ་དང་གཅིག་མཚུངས་ཡིན།,It's almost like you're living in the United States.,ted2019
མཐའ་མར་་་ ངའི་སེམས་ནང་ཆ་འཕྲིན་དང་གཟུང་ཡུལ་ཀུན་ཟླ་སྒྲིལ་བྱས་ན་་་ ཨང་ཀིའི་ཧང་ཟོམ་བསལ་ཐུབ་པ་མ་ཟད་་་ འཇིག་རྟེན་འདི་གཉིས་བར་གྱི་སྲུབས་ཀའང་བསུབ་ནུས་པ་དང་་་ ད་དུང་ང་ཚོའི་མི་གཤིས་་་ བོར་བརླག་མ་སོང་བར་་་དངོས་གཟུཊ་འཇིག་རྟེན་བར་གྱི་འབྲེལ་བ་ནི་དེ་བས་དམ་དུ་འགྲོ་རྒྱུར་རོཊ་རམ་བྱ་ཐུབ།,"So, as a last thought, I think that integrating information to everyday objects will not only help us to get rid of the digital divide, the gap between these two worlds, but will also help us, in some way, to stay human, to be more connected to our physical world.",ted2019
ད་ལྟ་ངས་ངེས་པར་དུ་ཁས་ལེན་པ་ཞིག་ལ་་་ དོན་དག་འདིས་ངེད་ཚང་ལ་དཀའ་ལས་ཀྱང་བསྐྱལ་མྱོང་ཡོད། ཐེངས་མང་པོར་ངས་ཁོ་གཉིས་ང་དང་འདྲ་བར་རྒྱུན་ལྡན་ཡིན་ན་བསམ་ཡོད།,"Now, I cannot deny that there have been some challenging moments in my family, moments where I've wished that they were just like me.",ted2019
ཁོ་མོས་ང་ལ་བཟུང་བའི་གཞི་རྩའི་ལྟ་སྟངས་ནི་ང་ཨ་ཧྥི་རི་ཁ་བ་ཞིག་ཡིན་པས་ཆ་ནས་ ཁོ་མོའི་སྣང་ངོར་ཡོད་པའི་ང་ནི་སྦྱིན་གཏོང་དང་སྙིང་རྗེ་སྐྱེ་གཞི་ཙམ་ཞིག་རེད།,What struck me was this: She had felt sorry for me even before she saw me.,ted2019
ཐ་ན་ཁོང་ཚོས་སོ་སོར་མིང་བཏགས་ཏེ་ འཛམ་གླིང་ཁ་ལོ་བསྒྱུར་བའི་འཐབ་རྩོད་ཅིག འདམ་རྩའི་རྟ་དང་ཆུ་འབུ་དབར་དུ་བསླངས་ཡོད།,"They even name themselves -- you know, use the name of this world-changing battle between the grass-mud horse and the river crab.",ted2019
ལོ་ངོ་གཉིས་དང་ཕྱེད་ཀའི་སྔོན་ལ། ང་རང་དཀའ་ལས་ཁག་ནས་དྲན་པ་བརྒྱལ་སོང་།,"Two-and-a-half years ago, I fainted from exhaustion.",ted2019
དེར་བརྟེན་ང་ཚོས་དྲན་དགོས་པ་ཞིག་ལ། ཊེ་ཌི་ཡིན་ནའང་འདྲ་གང་དུ་ཡིན་ཡང་ ཁྱད་དུ་འཕགས་པའི་བསམ་ཚུལ་གང་འདྲ་ཞིག་ཁྱེད་རང་ལ་ཡོད་པའམ་ཐོས་པ་ དེའི་ལྡོགས་ཕྱོགས་དེའང་དངོས་བདེན་ཞིག་ཡིན་སྲིད་པ་རེད།,"So, let's never forget, whether at TED, or anywhere else, that whatever brilliant ideas you have or hear, that the opposite may also be true.",ted2019
[དགོད་སྒྲ] འདི་ལྟར་སྡོམ་རྩིས་བྱས་ཡོང་ན། མི་མང་ཆེ་བས་ ཐ་སྙད་འདི་སྐྱོ་བའི་དོན་རེད་སྙམ་པ་དང་། ཡང་སྐབས་གཞན་ཞིག་ཏུ། སྡུག་བསྔལ་གྱི་དོན་ལ་འཇུག་པ་ཟེར་ན།,"(Laughter) Why do, statistically, a majority of people say that a word is sad, in this case, heavy in other cases?",ted2019
དེ་ནི་ང་སློབ་ཕྲུག་དེ་ལས་ལེགས་པའི་མི་ཞིག་ཡིན་པའི་རྐྱེན་གྱིས་མིན་པར། ཨ་རིའི་རིག་གཞུང་དང་དཔལ་འབྱོར་གཉིས་ཀྱི་སྟོབས་ཤུགས་ཀྱིས་རེད། ང་ལ་ཨ་རིའི་སྐོར་གྱི་སྒྲུང་མང་པོ་ཡོད།,"This is not because I am a better person than that student, but because of America's cultural and economic power, I had many stories of America.",ted2019
ངེད་ཕ་སྤད་གཉིས་འདི་ལྟར་མཉམ་དུ་བསྡད་པའི་དུས་ཚོད་ནང་་་ དུས་འདི་ངེད་ཚོའི་རེ་ཤོས་དང་རྩ་ཆེ་ཤོས་སུ་གྱུར་སོང་།,This very focused time we get to spend together is something we cherish and anticipate the entire year.,ted2019
ངས་བསམ་པར་འདིས་ག་རེ་སྟོན་གྱི་འདུག་ལབ་ན། ང་ཚོ་སྒྲུང་གིས་བག་ཆགས་འཇོག་སླ་བོ་དང་ཉེན་ཚབས་ ཇི་འདྲ་ཡོད་པ་སྟོན། ལྷག་པར་དུ་བྱིས་པ་ཡིན་པའི་སྐབས་ཡོང་།,"What this demonstrates, I think, is how impressionable and vulnerable we are in the face of a story, particularly as children.",ted2019
ཁོ་བྱིས་པ་གཞན་ཚོ་དགའ་སའི་རྩེ་རིགས་ལ་མི་དགའ་ལ། ཐ་ན་ང་དང་མཉམ་དུ་འདུག་རྒྱུར་ཡང་ དགའ་པོ་དེ་འདྲ་མེད།,"He didn't want to play like the other babies did, and in fact, he didn't seem very interested in me whatsoever.",ted2019
ང་ཚོ་བུད་མེད་ཚོས་ གསར་བརྗེ་གསར་པ་འདི་དང་བུད་མེད་ཀྱི་གནད་དོན་འདིའི་འགོ་འཁྲིད་ཀྱི་ཡིན།,"And we women are going to lead the way in this new revolution, this new feminist issue.",ted2019
ཝེ་པོ་(Weibo)དང་ཟིན་ཕྲན་སོགས་ཀྱི་གསར་གཏོད་དང་། འདྲ་བཟོ་འདི་དག ༢༠༠༩་ལོར་རྒྱ་ནག་ཏུ་དར་ཁྱབ་ཕྱིན་སྐབས། གསར་ལམ་གླེང་སྟེགས་ཤིག་ཆགས་པ་རེད།,"So these innovations and clones, as the Weibo and microblogging, when it came to China in 2009, it immediately became a media platform itself.",ted2019
གང་ལེགས་ཤེ་ན། ངས་བཀླགས་པའི་དེབ་ཀྱི་ནང་གི་ མི་སྣ་ཚང་མ་ཕྱི་མི་རེད། ངའི་སེམས་སུ་དེབ་ནང་རང་བཞིན་གྱིས་ ཕྱི་མི་ཡོད་དགོས་པ་དང་། ངས་སྒེར་ངོས་ནས་ངོས་འཛིན་བྱེད་མི་ཐུབ་པའི་ སྐོར་ཡིན་དགོས་ཀྱི་ཡོད་པའི་་ཡིད་ཆེས་འཕེལ་བཅུག་སོང་།,"Because all I had read were books in which characters were foreign, I had become convinced that books by their very nature had to have foreigners in them and had to be about things with which I could not personally identify.",ted2019
PM: འདི་གར་ནུས་སྟོབས་འབོར་ཆེན་ཞིག་གནས་པ་དང་སློབ་སྦྱོང་བྱ་ཡུལ་ཡང་མང་པོ་ཞིག་ཡོད།,Lots of learning.,ted2019
ང་མེག་སིས་ཁོ་ལ་འགྲུལ་བཞུད་མ་བྱས་བའི་གོང་དུ་ གལ་ཏེ་ངས་ཨ་རི་དང་མེག་སིས་ཁོ་ཕྱོགས་གཉིས་ཀྱི་ མི་རྣམས་གནས་སྤོར་བགྲོ་གླེང་ལ་ཉན་ཡོད་ན།,"So what if before my Mexican trip, I had followed the immigration debate from both sides, the U.S. and the Mexican?",ted2019
ང་ལ་མཚོན་ན། ཡི་གེའང་དེ་བཞིན་རེད། ཁ་དོག་དང་སེམས་ཚོར་ཡོད་པ་མ་ཟད། ཐིག་རིས་ཀྱང་ཡོད།,"Words too, for me, have colors and emotions and textures.",ted2019
ཝེ་པོ་སྟེང་གི་མཆན་འདོགས་ས་དེ་ནི་ཌིས་ཌིར་ངོ་མ་དང་མི་འདྲ་བར་ ངོ་དེབ་དང་ཅུང་འདྲ་བོ་ཡོད།,"At the commenting area, [it makes] the Chinese Weibo more like Facebook, rather than the original Twitter.",ted2019
མ་ཟད། འདི་ནི་རྒྱ་ནག་མི་མང་གི་ཁོར་ཡུག་ཏུ་ ཐོག་དང་པོར་བྱུང་བ་རེད།,"But also, it is like the first time a public sphere happened in China.",ted2019
"""སྒྲོམ་གྱི་ནང་གི་པར། དམ་བུའི་ནང་གི་གོ་ཐལ། དམ་བུའི་ནང་དུ་བསགས་པའི་དཔག་མེད་ཀྱི་ནུས་པས། ང་ལ་བདེན་དོན་དང་གདོང་གཏད་བཅུག་སོང་ལ། ང་རང་ནར་སོན་པའང་ཤེས་བཅུག་སོང་།","""Picture in a frame, ashes in a bottle, boundless energy confined in the bottle, forcing me to deal with reality, forcing me to deal with being grown up.",ted2019
བརྙན་ལེན་འཕྲུལ་འཁོར་གྱིས་་་ བརྙན་པར་ཚང་མ་འདུ་གསོག་བྱེད་ཀྱི་ཡོད་པ་དང་་་ མུ་མཚམས་ངོས་འཛིན་དང་ཁ་མདོག་ངོས་འཛིན་ཡང་བྱེད་ཀྱི་ཡོད། བྱ་རིམ་ཆུང་ངུ་མང་པོ་ཞིག་འདིའི་ནང་འཁོར་སྐྱོད་བྱེད་བཞིན་ཡོད།,"The camera is actually doing -- just, getting all the images -- is doing the edge recognition and also the color recognition and so many other small algorithms are going on inside.",ted2019
ཁོང་ཚོས་བསམ་པར་དེས་ ཁོང་ཚོ་ནི་ཧ་ཅང་བྲེལ་བ་ཚ་བོ་དང་། གྲུབ་འབྲས་སྟོན་མཁན་ཡིན་པ་མཚོན་གྱི་རེད་བསམ། ཡིན་ཡང་།དངོས་ཡོད་ཐོག་དེ་འདྲ་མིན། གང་ལེགས་ཞེ་ན། ད་སྐབས་ང་ཚོར་ ཚོང་ལས་དང་། དཔལ་འབྱོར། ཆབ་སྲིད་བཅས་ཀྱི་ཐད་དུ་ འགོ་ཁྲིད་ཁྱད་དུ་འཕགས་པ་ཡོད་ལ། ཐག་གཅོད་ཞེད་སྣང་ཚ་བོ་དེ་འདྲ་བྱེད་ཀྱི་ཡོད།,"And they think that means they are so incredibly busy and productive, but the truth is, they're not, because we, at the moment, have had brilliant leaders in business, in finance, in politics, making terrible decisions.",ted2019
ངས་ཉིན་དང་པོར་རྒོ་ཏ་ལ་ཧ་རར་ཡར་མར་འཁོར་ནས་ མི་རྣམས་ལས་ཀར་འགྲོ་བ་དང་། ཁྲོམ་གཞུང་དུ་བག་ལེབ་སྒྲིལ་བ།ཐ་མག་འཐུང་བ། གད་མོ་དགོད་པ་སོགས་ལ་བལྟས།,"I remember walking around on my first day in Guadalajara, watching the people going to work, rolling up tortillas in the marketplace, smoking, laughing.",ted2019
ཁྱེད་རང་ཨུ་སུའི་སྟོད་ཐུང་འདི་གྱོན་ཆས་རན་མིན་ལྟ་རོགས་གནང་།,Try on this sweater.,tatoeba
ང་ལ་ཨ་ཧྥེ་རི་ཁའི་དེབ་རྙེད་སོན་བྱུང་སྐབས་གནས་སྟངས་ལ་འགྱུར་བ་ཕྱིན་སོང་།,"Now, things changed when I discovered African books.",ted2019
ཡིན་ཡང་སེམས་ཁྲལ་མ་བྱེད་ཨཱ།,But not to worry.,ted2019
དྲ་རྒྱའི་ཨ་མ་པེ་ཅིང་དུ་ཡོད་པ་རེད།,The server is in Beijing.,ted2019
ཨ་རིའི་རྩོམ་པ་པོ་ཨ་ལེ་སི་ཝལ་ཀར་གྱིས་ བྱང་དུ་གནས་སྤོ་བྱས་བའི་རང་གི་ ལྷོ་ཡི་གཉེན་ཉེ་ཚོའི་སྐོར་འདི་འདྲ་བྲིས་ཡོད།,The American writer Alice Walker wrote this about her Southern relatives who had moved to the North.,ted2019
འདི་ནི་སྲིད་འཛིན་ཨོཔཱམ་གཟའ་འཁོར་སྔོན་དེར་MITལ་གསུང་བཤད་གནང་བ་དེ་རེད།,This was Obama's visit last week to MIT.,ted2019
གནས་ཚུལ་གཅིག་པ་བྱུང་བ་རེད། ཁོང་ནི་ཨ་རབ་,The same thing happend.,ted2019
ང་ལ་ཨ་རིའི་སྐོར་གྱི་སྒྲུང་ངོས་གཅིག་མ་ཞིག་མེད།,I did not have a single story of America.,ted2019
ཨ་རབ་ཀྱི་དབང་ཆ་གཅིག་སྡུད་པ་ཚོས་རྒྱ་ནག་གི་དྲ་རྒྱ་ སྟངས་འཛིན་གྱི་ཐབས་ལམ་གཉིས་ཆ་རྟོགས་མི་འདུག།,Sometimes the Arab dictators didn't understand these two hands.,ted2019
"ནེ་ཇི་རི་ཡའི་རྩོམ་པ་པོ་ཆེས་ནོས་ཨ་ཆེ་བྷས་ཀྱིས་གཏན་ཚིགས་ ""གཏམ་རྒྱུ་ཀྱི་དྲང་སྙོམས་""ཞེས་བ་དེ་རེད།","What the Nigerian writer Chinua Achebe calls ""a balance of stories.""",ted2019
ཡིན་ཡང་། ང་ལ་སྐྱབས་བཅོལ་གྱི་འཚོ་བའི་ཁྲོད་ནས་གྲོངས་བའི་ཨ་མྱེ་ཁག་ཅིག་ཡོད།,But I also had grandfathers who died in refugee camps.,ted2019
ཨ་མ་ནི་འཛིན་སྐྱོང་བྱེད་པོ་ཞིག་རེད།,My mother was an administrator.,ted2019
